from_person,to_person
P2497,P2593
P2597,P2113
P3670,P2342
P4000,P1290
P1165,P3372
P1172,P3992
P611,P3041
P180,P3822
P1308,P3304
P3726,P1114
P3106,P2898
P1039,P4963
P3063,P1658
P2447,P1002
P205,P1618
P1034,P3965
P3874,P2212
P2055,P579
P4666,P380
P4234,P1656
P1590,P4914
P3011,P3961
P4025,P2924
P73,P1081
P1394,P3743
P1665,P1757
P323,P752
P125,P3443
P4578,P493
P4673,P3157
P3476,P2119
P1819,P1273
P2901,P4700
P3326,P2212
P4691,P4310
P4660,P1985
P3043,P1509
P4791,P4008
P3340,P2744
P3253,P4029
P3717,P2853
P476,P566
P548,P4732
P4920,P3449
P4559,P252
P4465,P2523
P2635,P767
P2005,P4362
P967,P2473
P3886,P4155
P4819,P4434
P3327,P4557
P4726,P2557
P4579,P390
P122,P4768
P2510,P4071
P642,P446
P13,P2199
P1408,P2209
P2030,P2376
P2543,P1004
P2700,P2095
P4250,P1010
P2569,P4194
P3472,P12
P2004,P4914
P4121,P559
P3818,P2769
P1078,P1663
P2878,P1868
P2211,P2971
P2613,P1468
P3757,P203
P2528,P1895
P322,P744
P492,P3532
P297,P2270
P1244,P975
P4472,P2491
P2063,P1630
P3028,P2955
P1532,P4275
P67,P4404
P3236,P4629
P851,P2129
P2536,P833
P3753,P234
P2134,P1442
P2191,P3606
P200,P1691
P204,P2886
P4661,P1478
P4023,P155
P22,P2686
P3321,P3972
P2912,P1001
P4513,P3067
P1343,P1057
P4637,P4984
P994,P4350
P4314,P480
P2565,P1845
P4713,P2315
P2300,P1268
P2338,P4990
P1329,P3770
P3544,P4531
P3623,P813
P1547,P2050
P3954,P3282
P3091,P4694
P2396,P2088
P3864,P2108
P873,P1072
P105,P995
P4178,P3454
P3905,P756
P957,P3032
P4313,P3370
P1637,P3272
P1092,P2139
P1101,P1114
P4641,P894
P2765,P3124
P1391,P3079
P3619,P1894
P1419,P3599
P4762,P3433
P2760,P200
P162,P3948
P4857,P4379
P1541,P3724
P234,P1549
P1514,P339
P784,P580
P4512,P2840
P4811,P2181
P1755,P2561
P4696,P3829
P2255,P2246
P2858,P597
P648,P312
P3025,P3522
P4702,P3913
P932,P513
P189,P4596
P2629,P657
P777,P3245
P2941,P287
P2560,P1140
P3836,P246
P4217,P4355
P2313,P4617
P2151,P4881
P3169,P3572
P2367,P1481
P2225,P1722
P414,P2116
P3053,P1359
P201,P440
P2671,P553
P3298,P1459
P892,P4626
P1575,P3095
P4927,P1521
P2305,P3172
P201,P3411
P2904,P52
P3426,P2295
P4824,P3932
P4208,P4006
P4544,P4569
P3906,P949
P1223,P1749
P1677,P2097
P1866,P1283
P895,P3741
P2898,P1295
P4749,P2361
P1292,P1052
P2396,P8
P4634,P3288
P4066,P4381
P4974,P3990
P3073,P2732
P1992,P2013
P123,P20
P1414,P2902
P3408,P849
P1261,P1075
P3719,P2572
P2315,P2494
P4375,P3172
P1819,P3670
P3979,P4726
P2399,P3785
P4964,P4531
P372,P1356
P1386,P1817
P3201,P1899
P3767,P2662
P234,P1578
P3500,P953
P4974,P3039
P465,P4058
P1302,P3095
P3723,P1292
P2645,P1900
P609,P4119
P4147,P2262
P4175,P2661
P1291,P2982
P3778,P3422
P1135,P2976
P1157,P3502
P1721,P3672
P2035,P1405
P1799,P2538
P4182,P3586
P688,P3294
P4104,P2749
P3621,P3460
P4503,P3810
P4302,P2167
P424,P4101
P4850,P4194
P3655,P446
P3251,P4590
P3188,P2592
P1850,P3802
P2218,P3999
P3225,P2518
P4196,P1258
P1087,P1949
P1973,P2887
P3380,P1356
P3597,P3388
P1263,P2298
P4534,P829
P346,P2131
P800,P2126
P2914,P3459
P2778,P499
P4590,P2246
P1514,P1021
P919,P3106
P4783,P621
P3143,P3938
P1223,P2708
P731,P3097
P1202,P2495
P4967,P2183
P395,P3945
P648,P1509
P325,P1589
P4893,P3972
P2066,P16
P2813,P2014
P2379,P2532
P3268,P4503
P3500,P1036
P1532,P3248
P128,P3120
P1571,P575
P4330,P2978
P1691,P1733
P1506,P2334
P2355,P1700
P763,P1151
P3898,P3983
P3409,P2748
P4705,P898
P1468,P3544
P2448,P419
P134,P2861
P2292,P3785
P3108,P2586
P1435,P276
P4355,P4475
P1139,P4446
P4640,P3311
P2437,P3648
P4677,P1905
P209,P3602
P1794,P2113
P3061,P765
P3477,P3945
P60,P4913
P836,P3096
P1229,P3376
P2462,P1693
P1906,P952
P4391,P2611
P662,P2041
P4927,P1703
P2347,P4838
P2252,P524
P1089,P63
P1970,P4648
P3704,P3279
P1817,P1792
P618,P2402
P1208,P4329
P2438,P3258
P3746,P3247
P1361,P4921
P2116,P3030
P2180,P1355
P3154,P85
P3610,P4370
P4115,P1102
P1812,P3513
P2810,P1608
P2194,P3723
P4435,P1554
P2760,P2192
P834,P3862
P933,P4351
P3484,P2565
P3928,P4481
P2695,P1664
P3588,P3622
P3814,P1474
P4738,P288
P2424,P3448
P2123,P4125
P2791,P1151
P3256,P2596
P230,P4517
P3144,P461
P1606,P3765
P1424,P60
P3963,P3563
P2272,P1616
P1207,P3097
P1907,P1036
P3582,P707
P167,P2825
P1962,P249
P2678,P4604
P1083,P4922
P4671,P4374
P2002,P630
P3707,P2011
P2619,P4849
P2743,P861
P3914,P826
P2427,P1112
P2648,P1167
P2982,P1625
P2680,P4014
P4816,P1570
P2524,P2215
P3811,P3895
P2196,P1794
P4535,P1507
P429,P86
P1738,P4841
P299,P4247
P3259,P3004
P900,P3695
P1930,P3114
P3584,P1139
P2503,P954
P3344,P1949
P2056,P3065
P405,P1980
P2294,P457
P818,P1523
P1475,P3585
P1553,P901
P472,P4899
P2266,P4260
P2422,P4085
P3778,P2629
P2203,P4963
P4657,P4298
P4006,P4212
P1046,P3604
P4208,P2488
P129,P3254
P1759,P4674
P2975,P4767
P371,P745
P47,P2439
P3620,P1238
P2903,P3392
P3738,P4609
P4716,P2702
P2923,P1121
P4425,P3138
P1023,P4091
P2543,P168
P4750,P2784
P600,P54
P2005,P2240
P3425,P2088
P1956,P1925
P2356,P511
P4410,P1374
P891,P3095
P3355,P4976
P4394,P3699
P2929,P282
P1407,P777
P25,P2942
P1755,P2700
P3291,P4488
P3858,P1332
P2168,P2947
P1280,P3024
P4763,P4554
P2003,P4430
P2885,P2354
P2753,P4353
P1722,P3968
P4912,P1710
P2034,P4495
P335,P4296
P3157,P4001
P4031,P2648
P1952,P3842
P439,P3893
P3619,P1061
P2550,P2013
P4646,P2289
P2013,P414
P864,P14
P3595,P4742
P4452,P4190
P4165,P560
P3068,P2704
P172,P2775
P246,P952
P1793,P1302
P656,P4852
P2502,P2149
P4905,P1878
P2164,P3942
P2213,P4663
P642,P3166
P2326,P3965
P7,P4458
P1748,P2445
P4943,P4609
P501,P3129
P3172,P3188
P3410,P1581
P4921,P4017
P4983,P3508
P1201,P2044
P1438,P4049
P3270,P1386
P399,P871
P1795,P4036
P4244,P4115
P4230,P4458
P4272,P4453
P2301,P4223
P2511,P758
P3964,P2228
P3821,P64
P3291,P4607
P2154,P4391
P907,P40
P1325,P805
P4860,P3704
P789,P4367
P2366,P3213
P315,P3648
P294,P3267
P2929,P4558
P3372,P4316
P293,P3868
P4281,P1482
P3950,P4183
P4600,P775
P631,P166
P2711,P3691
P3989,P4815
P770,P1412
P1936,P4765
P1814,P2617
P1609,P1945
P4860,P915
P716,P1612
P74,P857
P4905,P2118
P2312,P924
P2885,P272
P1945,P940
P1597,P3057
P2292,P2913
P2151,P93
P1381,P2462
P2097,P351
P4356,P3472
P3326,P1632
P4516,P2086
P1058,P1835
P2790,P1272
P2326,P806
P2271,P2776
P1388,P1290
P4363,P4313
P1580,P2798
P3733,P3607
P2010,P2338
P1231,P2871
P4468,P3118
P1399,P4537
P2837,P3476
P1583,P4154
P3052,P4358
P1903,P1318
P685,P2916
P1330,P1134
P869,P3145
P3067,P3224
P4271,P1386
P2910,P1410
P524,P3757
P4188,P261
P671,P3423
P814,P4067
P2382,P4638
P2724,P219
P3112,P4690
P822,P3322
P2084,P564
P1353,P4142
P2081,P961
P2380,P822
P2400,P754
P1005,P2462
P1424,P4479
P1441,P1443
P2663,P754
P1523,P2935
P3251,P2101
P287,P4823
P4391,P3315
P499,P237
P1305,P1250
P1045,P4034
P2346,P2665
P3376,P1801
P2540,P4133
P3300,P31
P533,P118
P4953,P402
P35,P253
P1122,P4249
P703,P4809
P4086,P3502
P1832,P346
P1134,P1945
P916,P4019
P790,P4440
P4969,P744
P612,P4352
P1386,P4424
P4898,P1412
P3766,P1822
P3143,P1597
P639,P677
P1441,P3450
P3798,P2420
P4664,P4851
P3174,P1465
P1702,P3221
P1350,P2135
P1757,P3097
P2494,P1793
P2426,P1770
P3000,P3398
P4132,P3582
P596,P3313
P1063,P2070
P4544,P3647
P3642,P2655
P328,P3562
P1267,P3620
P607,P3475
P1039,P3867
P2697,P2474
P316,P2834
P4803,P3428
P46,P4968
P4522,P4534
P3266,P1566
P898,P2656
P2284,P1462
P1253,P3358
P2640,P2008
P1183,P4636
P635,P1813
P4073,P1765
P1055,P1095
P1976,P212
P1703,P2989
P1891,P4740
P4202,P4732
P2768,P3030
P4411,P4181
P4173,P899
P3988,P985
P3634,P3624
P96,P2853
P4621,P2684
P3510,P4359
P570,P1952
P2226,P1248
P3163,P1227
P3152,P2368
P3195,P4414
P3853,P87
P3964,P923
P445,P2172
P4522,P3186
P3152,P4993
P757,P4252
P3792,P3109
P4314,P4119
P3805,P793
P1944,P1027
P1985,P4390
P2391,P4744
P4759,P3738
P4193,P4304
P688,P4754
P2757,P3646
P4562,P1033
P2801,P1641
P4988,P3830
P654,P1024
P2103,P488
P1264,P893
P191,P456
P4413,P1032
P1060,P473
P318,P1094
P247,P2135
P3346,P3782
P2749,P891
P1812,P4827
P3593,P4626
P3520,P4570
P4401,P2869
P1413,P4735
P80,P2637
P2063,P3249
P436,P3210
P40,P2978
P205,P259
P1076,P459
P3957,P4679
P919,P2544
P2526,P1987
P503,P4907
P3282,P451
P2186,P1580
P3459,P953
P37,P188
P2306,P4935
P823,P1622
P1439,P1261
P4129,P2709
P1054,P4939
P1104,P97
P2396,P568
P2915,P4710
P196,P877
P4854,P4892
P4530,P1283
P4703,P3861
P824,P155
P266,P4946
P4354,P103
P3300,P4285
P915,P4063
P3089,P107
P3205,P2125
P944,P4451
P1816,P2095
P3731,P639
P1934,P1778
P1018,P1016
P1964,P2977
P3447,P4182
P3012,P3726
P3384,P1274
P1875,P1592
P4374,P1609
P4427,P3681
P2186,P2542
P2453,P3754
P4516,P1723
P3980,P3618
P2340,P3242
P4927,P1017
P105,P4366
P1158,P3336
P3962,P2795
P1832,P4244
P2214,P3403
P4736,P4808
P2698,P4628
P681,P4098
P3817,P3937
P4782,P4469
P410,P581
P677,P4779
P3296,P2279
P1812,P4077
P895,P3809
P2848,P1034
P3113,P2246
P210,P3553
P3956,P4817
P1158,P2839
P3683,P931
P252,P211
P3767,P3433
P2340,P4971
P1027,P4331
P1105,P3760
P241,P391
P2355,P3681
P201,P4132
P3992,P1173
P3590,P4247
P1694,P2016
P2312,P3129
P2610,P924
P4826,P3146
P2549,P2407
P3294,P568
P3754,P1705
P3424,P3327
P2495,P4677
P774,P1707
P3349,P3537
P1423,P1095
P3125,P1650
P2936,P492
P3904,P826
P508,P2162
P963,P200
P4538,P554
P2746,P3120
P2212,P3159
P1586,P1414
P2871,P716
P3062,P1578
P101,P3115
P4351,P4442
P4033,P1821
P4088,P3266
P3515,P3537
P939,P160
P2151,P3850
P3554,P298
P342,P3443
P2380,P1871
P4972,P2822
P2837,P4638
P668,P3821
P2963,P1426
P4898,P1247
P4389,P2652
P4437,P3255
P3470,P4995
P1772,P3012
P4720,P3725
P265,P1887
P2516,P3005
P952,P3407
P1582,P4184
P94,P317
P1251,P3562
P4158,P4421
P4522,P2461
P4900,P920
P3353,P2770
P3381,P409
P4630,P3828
P3605,P3515
P4552,P3254
P4671,P3433
P3098,P2670
P3915,P2727
P3274,P3286
P1427,P1481
P588,P1929
P4936,P2363
P4573,P1531
P1110,P949
P1887,P3270
P3017,P2585
P4040,P2120
P2558,P2046
P4004,P4142
P1093,P987
P4709,P3135
P1059,P3739
P749,P2010
P2494,P61
P673,P3259
P3322,P2897
P875,P4978
P2799,P1037
P2264,P3295
P971,P3842
P2960,P2721
P3743,P2471
P1371,P3686
P2763,P2733
P3301,P4293
P953,P3792
P624,P1335
P963,P103
P4322,P4174
P4900,P146
P1243,P2830
P2117,P2490
P1176,P2412
P4190,P1894
P3770,P4587
P3581,P3024
P4801,P868
P56,P4128
P2610,P3592
P4890,P2044
P1794,P1524
P454,P897
P4366,P3765
P4682,P3036
P2038,P3411
P2802,P823
P3199,P3183
P3045,P4253
P4070,P3083
P706,P999
P4199,P1788
P1550,P2385
P4833,P3488
P3278,P1766
P1714,P1694
P610,P4040
P2484,P2618
P3079,P2274
P1394,P4999
P3407,P748
P3609,P2410
P1867,P3845
P1234,P269
P2912,P163
P729,P2382
P1176,P2730
P4588,P3661
P933,P2708
P2019,P4561
P441,P3417
P1208,P4353
P1412,P1364
P3307,P57
P3162,P4202
P2102,P4735
P3292,P1086
P3454,P4376
P3355,P3264
P4536,P3446
P4383,P2534
P1504,P402
P134,P2256
P1099,P1519
P1170,P4115
P1736,P841
P1788,P2859
P252,P3546
P4616,P1323
P3403,P4692
P3924,P2441
P3595,P1519
P3373,P2542
P3329,P1563
P2190,P1154
P2059,P2526
P3135,P1794
P1125,P1916
P1744,P2702
P2723,P4041
P4985,P2677
P4422,P1502
P3226,P1132
P646,P2127
P2756,P3890
P12,P3512
P4542,P2371
P2526,P3298
P1908,P571
P2030,P3220
P1143,P2833
P4641,P2242
P2551,P4240
P3686,P3642
P2590,P276
P4441,P991
P2774,P384
P1245,P4418
P4220,P1896
P2909,P3208
P4511,P3876
P2636,P85
P1118,P2403
P1291,P4515
P4424,P1118
P1569,P1775
P1591,P245
P325,P4082
P396,P1105
P3309,P2801
P1367,P1071
P546,P4200
P3790,P849
P4742,P311
P2985,P2827
P2932,P1941
P220,P1845
P1605,P883
P3370,P1002
P4255,P1210
P3393,P3805
P1298,P269
P677,P3417
P1656,P1366
P583,P4615
P191,P3996
P1930,P1913
P2434,P1571
P3554,P4962
P2376,P3245
P73,P2789
P1885,P1399
P3528,P1961
P3894,P2628
P3600,P4925
P2327,P4053
P2499,P1804
P1665,P3149
P352,P2281
P2308,P3489
P3931,P1775
P1513,P4298
P3284,P2112
P579,P1679
P4611,P3020
P4598,P2102
P670,P4331
P115,P1928
P3541,P2447
P4807,P1770
P3073,P4035
P1001,P4009
P2795,P2470
P2991,P3283
P4466,P2478
P1225,P4072
P1605,P803
P4257,P3594
P773,P2299
P1676,P4116
P1207,P3313
P2924,P1108
P1335,P1707
P211,P4257
P108,P163
P4949,P814
P1683,P1370
P3014,P3812
P4677,P727
P3088,P1147
P2918,P2770
P2159,P1471
P1113,P1752
P493,P207
P1621,P4969
P4685,P2444
P348,P4202
P3930,P3629
P1331,P1259
P4578,P4592
P436,P4906
P2357,P3742
P1678,P1837
P4378,P1908
P1033,P4615
P42,P3190
P3173,P2172
P2538,P3540
P594,P3473
P845,P1661
P175,P2545
P3929,P1080
P3233,P485
P4695,P620
P420,P2680
P472,P4022
P3519,P4623
P215,P1818
P4110,P3982
P2562,P4255
P2437,P3327
P4835,P4978
P3195,P932
P4237,P2796
P1462,P1585
P3839,P1046
P1051,P2362
P4753,P1180
P2605,P2416
P1707,P1501
P3170,P528
P3876,P495
P2676,P643
P3722,P876
P895,P3510
P3403,P1813
P4153,P4483
P3526,P2506
P143,P3664
P4390,P828
P1806,P3334
P1998,P1755
P4438,P14
P179,P4854
P1582,P752
P2399,P3371
P4617,P4541
P1892,P2375
P679,P844
P4063,P1089
P625,P1857
P4165,P1402
P2628,P16
P3715,P4441
P4256,P985
P2187,P969
P837,P3743
P819,P1828
P4401,P3755
P3095,P112
P4037,P2970
P4868,P4469
P2667,P4539
P3626,P3124
P3161,P2444
P4918,P2622
P2675,P733
P2896,P4978
P4972,P1094
P3457,P2465
P3773,P1217
P1426,P4696
P1295,P1649
P1921,P690
P4485,P4667
P2591,P3063
P2360,P2172
P4190,P4768
P2841,P1519
P1174,P3510
P4152,P2464
P3224,P535
P1235,P1345
P3429,P4665
P2330,P2695
P2337,P2953
P1194,P553
P2045,P469
P2123,P3528
P2695,P1082
P1142,P1049
P922,P4424
P2039,P2599
P4090,P430
P4077,P170
P2245,P946
P3339,P4695
P1127,P899
P1414,P910
P4090,P3503
P1274,P3920
P2260,P3624
P2820,P4773
P2271,P267
P2041,P315
P4583,P4924
P1520,P4084
P151,P4138
P2256,P2382
P4287,P2504
P4032,P3083
P860,P3097
P1520,P4700
P693,P2818
P136,P4916
P535,P1919
P3011,P2245
P3409,P3927
P3720,P3770
P2509,P3664
P4779,P2585
P4745,P3497
P4403,P2696
P828,P4544
P2508,P18
P3082,P1615
P4914,P1252
P3395,P4361
P3650,P3140
P990,P2083
P310,P862
P3133,P682
P2802,P1597
P3093,P1579
P4264,P4116
P1310,P2485
P1739,P2445
P3093,P2057
P1512,P3878
P74,P253
P2834,P3166
P4854,P1001
P395,P324
P1517,P336
P2597,P2468
P662,P3534
P3007,P182
P3723,P1732
P3178,P1618
P1726,P126
P4358,P2765
P830,P1163
P769,P1026
P1265,P1032
P4011,P4339
P1760,P4194
P410,P2084
P1984,P2067
P998,P3973
P2211,P4425
P2311,P974
P783,P2337
P1241,P295
P2530,P4495
P3315,P3713
P2692,P1240
P4675,P2886
P1410,P2129
P4542,P3814
P4882,P3132
P3711,P2048
P4634,P2356
P554,P4060
P593,P4867
P3908,P570
P3555,P532
P3088,P2496
P169,P524
P2627,P106
P2669,P4533
P1845,P4598
P4692,P2119
P4165,P3519
P809,P1218
P3125,P1105
P4782,P1051
P857,P3809
P2712,P2115
P3715,P4448
P4308,P4196
P1574,P856
P1089,P3938
P2887,P289
P2349,P4479
P4451,P16
P3243,P1082
P2440,P4296
P824,P4958
P1492,P414
P4216,P760
P3340,P347
P3180,P860
P3247,P3558
P811,P4933
P3261,P2572
P421,P178
P3572,P4843
P921,P2118
P4068,P2892
P608,P632
P3532,P2572
P152,P678
P1895,P2354
P4188,P3150
P481,P3709
P3338,P2196
P2164,P4292
P2173,P4845
P1399,P3046
P4821,P34
P1406,P1897
P4213,P4525
P583,P4024
P4281,P3491
P1537,P3468
P4574,P844
P511,P3722
P2720,P2583
P1235,P3816
P1178,P3368
P2982,P3294
P609,P4970
P4326,P1381
P3323,P3601
P4372,P3145
P2753,P1721
P4058,P4286
P3623,P2955
P4707,P416
P805,P2975
P2660,P2961
P4579,P4109
P103,P1448
P44,P1176
P2709,P2364
P4026,P4102
P4038,P1552
P2987,P4302
P3211,P2552
P2802,P2454
P2680,P2626
P1194,P1183
P1707,P286
P4360,P1308
P2100,P4648
P3706,P4051
P1160,P4827
P1427,P430
P2024,P2347
P2045,P889
P4686,P1790
P1591,P3922
P2831,P1059
P4739,P1262
P1423,P3613
P3570,P1937
P1248,P1843
P715,P4760
P4090,P4502
P3494,P2362
P2878,P2983
P3678,P2547
P2219,P2337
P4748,P343
P4548,P375
P3477,P2252
P3582,P2626
P4282,P3354
P1274,P125
P2157,P4860
P4623,P1720
P206,P643
P2176,P4543
P2064,P36
P1471,P4431
P4756,P2653
P1776,P15
P2175,P4558
P3873,P3690
P1057,P1945
P2782,P3592
P1471,P4870
P2735,P4270
P4168,P2231
P1717,P4472
P3547,P2391
P581,P985
P1474,P3639
P2946,P3661
P4120,P2908
P1190,P1530
P1307,P421
P1982,P542
P2070,P2265
P4810,P437
P4192,P3525
P168,P1242
P4868,P623
P3994,P642
P3243,P2715
P472,P4212
P1885,P1004
P1651,P490
P2976,P2044
P630,P4656
P4928,P625
P304,P769
P3313,P1240
P4962,P2923
P3813,P1432
P3039,P1967
P3729,P3959
P1135,P2496
P3746,P1071
P3854,P4300
P1482,P580
P1118,P768
P828,P2766
P2161,P1743
P750,P3751
P3773,P2780
P3519,P3118
P2184,P1507
P3488,P2816
P565,P936
P1169,P3888
P4957,P3061
P155,P4801
P2007,P3012
P4200,P1093
P4030,P3150
P2173,P2241
P38,P2966
P502,P648
P2865,P4665
P3855,P1567
P2969,P1970
P4266,P3065
P1627,P3568
P4295,P1701
P2191,P3262
P2099,P2824
P4925,P4247
P2561,P831
P202,P475
P4962,P3564
P3370,P658
P2603,P3382
P3867,P3551
P3383,P3613
P4230,P2335
P2960,P3283
P2601,P2641
P447,P1872
P3467,P4704
P981,P4939
P1943,P1282
P4872,P3397
P572,P4215
P2184,P635
P1962,P3343
P3571,P4622
P2502,P2689
P3748,P4164
P4808,P2504
P1940,P2376
P1214,P2501
P870,P1489
P1858,P2995
P506,P2546
P760,P2210
P4229,P110
P1361,P1090
P1047,P136
P236,P1649
P2526,P487
P3425,P4189
P10,P806
P1663,P4168
P3543,P686
P1765,P4550
P4513,P4528
P2095,P3779
P4046,P4999
P3108,P3976
P1766,P1503
P3483,P213
P1279,P2263
P3493,P4002
P744,P4075
P4736,P1113
P94,P3477
P4660,P329
P4652,P1567
P4136,P3157
P1256,P2946
P1780,P371
P3779,P971
P933,P3517
P2704,P264
P3767,P1672
P681,P1450
P4412,P3820
P4411,P3232
P3660,P2011
P1662,P3233
P3596,P1794
P82,P1541
P1466,P3088
P546,P190
P3081,P3769
P1401,P195
P2863,P2998
P4260,P3705
P4329,P3083
P2293,P2077
P708,P4416
P3594,P4488
P1536,P4474
P1914,P2799
P4758,P3938
P4299,P2284
P4824,P1926
P2669,P3473
P677,P488
P3839,P3545
P4174,P4732
P4377,P4892
P4240,P4681
P2067,P1530
P1558,P3836
P3832,P3134
P1615,P566
P3158,P957
P1190,P493
P2785,P3913
P1948,P3398
P4609,P2094
P3823,P2003
P2826,P1551
P4402,P3945
P1273,P4393
P1264,P1847
P3273,P2659
P780,P2688
P2767,P3531
P2079,P3316
P4223,P2768
P1927,P4739
P457,P1260
P2152,P3873
P2159,P3513
P3371,P1372
P807,P4508
P798,P2417
P4628,P4968
P3378,P4663
P785,P4949
P4760,P4558
P4621,P473
P3257,P2728
P1416,P4937
P33,P3627
P1156,P2167
P90,P2145
P2639,P4076
P598,P4310
P3856,P4806
P2737,P4636
P1374,P3479
P1301,P4973
P455,P3150
P3118,P2216
P1552,P2097
P1417,P3744
P4567,P2129
P3621,P3979
P3613,P3032
P4860,P2950
P1490,P993
P2093,P343
P2814,P152
P639,P2471
P2910,P4218
P2443,P1290
P2293,P4688
P4725,P4564
P232,P4856
P3757,P3769
P4747,P4679
P3695,P715
P2364,P1516
P3034,P2633
P2810,P1439
P4020,P2462
P4442,P4503
P1746,P1042
P1285,P3333
P4043,P4854
P1619,P2689
P1958,P884
P2303,P2574
P3208,P573
P4093,P150
P4810,P1205
P654,P591
P1054,P3852
P1150,P4620
P187,P2148
P4092,P4919
P211,P2742
P4399,P3953
P3433,P3576
P2116,P4732
P3468,P2629
P4259,P4326
P2361,P1535
P3240,P4404
P3664,P3334
P1945,P730
P3004,P273
P675,P4767
P3153,P4206
P3883,P3869
P4713,P2335
P2627,P2474
P2552,P1450
P3513,P2166
P2992,P3616
P2604,P763
P2045,P4293
P2852,P362
P2073,P1735
P3316,P4658
P3238,P2685
P324,P2570
P2181,P2460
P4895,P4288
P4288,P3542
P4682,P227
P2417,P4915
P2061,P3673
P2504,P1188
P4354,P1944
P1454,P1864
P1206,P3215
P782,P2328
P1708,P2608
P3306,P3282
P2655,P4233
P1930,P4860
P2332,P693
P2339,P3750
P2596,P3827
P3236,P1087
P4679,P2501
P2930,P2460
P1988,P117
P2305,P250
P1422,P4494
P1206,P4606
P3056,P3542
P70,P3331
P2343,P3017
P4209,P1362
P3224,P4784
P4901,P3249
P2717,P3195
P515,P1531
P4571,P4346
P530,P3314
P3798,P520
P350,P283
P3122,P3886
P4962,P3856
P403,P2480
P4708,P1825
P2941,P1275
P3654,P3449
P3740,P3297
P4088,P2892
P1621,P4532
P3534,P1075
P2985,P3257
P1446,P3692
P2158,P4322
P4847,P4214
P164,P3232
P3095,P2129
P2641,P2993
P4840,P1555
P1353,P3280
P3985,P1191
P490,P3859
P1576,P4047
P2081,P1890
P976,P2609
P4930,P2581
P4648,P0
P1659,P1304
P2767,P2619
P4046,P3615
P325,P317
P2059,P3883
P2388,P3261
P3292,P1070
P1158,P2115
P9,P4780
P2650,P1306
P3393,P444
P2770,P2351
P4639,P808
P1539,P1042
P1887,P1110
P4505,P3775
P2811,P2165
P2213,P4548
P863,P4525
P3835,P2691
P1352,P2146
P1872,P2800
P8,P268
P1631,P3904
P2180,P2170
P4185,P2346
P3626,P1327
P2858,P2248
P3437,P991
P4104,P299
P343,P2885
P1933,P3761
P1879,P1482
P4057,P3334
P868,P1231
P596,P3687
P4097,P3085
P1265,P3265
P3236,P399
P2449,P1129
P1032,P4530
P3705,P4348
P3934,P390
P440,P3809
P2840,P3984
P1742,P1830
P4115,P1151
P2834,P4910
P1035,P3240
P2557,P248
P3996,P197
P360,P972
P3092,P3912
P1389,P63
P4169,P693
P4566,P28
P4041,P1737
P1941,P3694
P1463,P4526
P2281,P2791
P1771,P144
P4047,P4906
P4123,P1739
P4448,P131
P4787,P4379
P1494,P527
P1684,P2780
P1658,P4158
P116,P3920
P3382,P208
